"h_code","thunhap","thubq","year"
"0100100034010013",17735,NA,2018
"0100200079010013",66000,5500,2018
"0100200079010013",52800,NA,2018
"0100200079010013",0,NA,2018
"0100200079010013",0,NA,2018
"0100200079010013",0,NA,2018
"0100200079010013",0,NA,2018
"0100200079010013",7800,NA,2018
"0100200079010013",5645,NA,2018
"0100200079010015",354060,9835,2018
"0100200079010015",224000,NA,2018
"0100200079010015",0,NA,2018
"0100200079010015",168000,NA,2018
"0100200079010015",0,NA,2018
"0100200079010015",0,NA,2018
"0100200079010015",1050,NA,2018
"0100200079010015",37730,NA,2018
"0100400118004013",260660,4344,2018
"0100400118004013",57000,NA,2018
"0100400118004013",0,NA,2018
"0100400118004013",207000,NA,2018
"0100400118004013",0,NA,2018
"0100400118004013",0,NA,2018
"0100400118004013",19502,NA,2018
"0100400118004013",10643,NA,2018
"0100400118004014",334756,4649,2018
"0100400118004014",231000,NA,2018
"0100400118004014",0,NA,2018
"0100400118004014",0,NA,2018
"0100400118004014",610,NA,2018
"0100400118004014",0,NA,2018
"0100400118004014",18443,NA,2018
"0100400118004014",14315,NA,2018
"0100400118004015",176150,2935,2018
"0100400118004015",35200,NA,2018
"0100400118004015",0,NA,2018
"0100400118004015",120000,NA,2018
"0100400118004015",0,NA,2018
"0100400118004015",0,NA,2018
"0100400118004015",4371,NA,2018
"0100400118004015",10674,NA,2018
"0100400148011013",322000,6708,2018
"0100400148011013",258000,NA,2018
"0100400148011013",0,NA,2018
"0100400148011013",0,NA,2018
"0100400148011013",0,NA,2018
"0100400148011013",0,NA,2018
"0100400148011013",2330,NA,2018
"0100400148011013",25020,NA,2018
"0100400148011014",226600,4720,2018
"0100400148011014",201500,NA,2018
"0100400148011014",0,NA,2018
"0100400148011014",0,NA,2018
"0100400148011014",0,NA,2018
"0100400148011014",0,NA,2018
"0100400148011014",5430,NA,2018
"0100400148011014",19420,NA,2018
"0100400148011015",351450,4881,2018
"0100400148011015",188000,NA,2018
"0100400148011015",0,NA,2018
"0100400148011015",360000,NA,2018
"0100400148011015",0,NA,2018
"0100400148011015",0,NA,2018
"0100400148011015",11240,NA,2018
"0100400148011015",26960,NA,2018
"0100500172051013",190900,5302,2018
"0100500172051013",176900,NA,2018
"0100500172051013",0,NA,2018
"0100500172051013",0,NA,2018
"0100500172051013",0,NA,2018
"0100500172051013",0,NA,2018
"0100500172051013",2500,NA,2018
"0100500172051013",14040,NA,2018
"0100500172051015",248100,6891,2018
"0100500172051015",241100,NA,2018
"0100500172051015",0,NA,2018
"0100500172051015",0,NA,2018
"0100500172051015",0,NA,2018
"0100500172051015",0,NA,2018
"0100500172051015",12440,NA,2018
"0100500172051015",7490,NA,2018
"0100500172051014",541000,7513,2018
"0100500172051014",522200,NA,2018
"0100500172051014",0,NA,2018
"0100500172051014",0,NA,2018
"0100500172051014",0,NA,2018
"0100500172051014",0,NA,2018
"0100500172051014",18652,NA,2018
"0100500172051014",105021,NA,2018
"0100600199016013",375400,5213,2018
"0100600199016013",310000,NA,2018
"0100600199016013",0,NA,2018
"0100600199016013",0,NA,2018
"0100600199016013",0,NA,2018
"0100600199016013",0,NA,2018
"0100600199016013",7282,NA,2018
"0100600199016013",23950,NA,2018
"0100600199016014",1014300,12075,2018
"0100600199016014",441300,NA,2018
"0100600199016014",0,NA,2018
"0100600199016014",0,NA,2018
"0100600199016014",0,NA,2018
"0100600199016014",0,NA,2018
"0100600199016014",10202,NA,2018
"0100600199016014",69150,NA,2018
"0100600199016015",176320,14693,2018
"0100600199016015",0,NA,2018
"0100600199016015",0,NA,2018
"0100600199016015",0,NA,2018
"0100600199016015",0,NA,2018
"0100600199016015",0,NA,2018
"0100600199016015",3602,NA,2018
